unit,sex,country,year,value
PC,M,PL,2017,85.2
PC,M,PL,2018,86.0
PC,M,PL,2019,85.6
PC,M,PL,2020,84.8
PC,M,PL,2021,84.4
PC,M,PL,2022,83.3
PC,M,PL,2023,80.9
PC,M,PL,2024,82.5
PC,M,PL,2025,83.4
PC,F,PL,2004,32.0
PC,F,PL,2005,30.7
PC,F,PL,2006,31.3
PC,F,PL,2007,30.6
PC,F,PL,2008,30.2
PC,F,PL,2009,30.3
PC,F,PL,2010,29.8
PC,F,PL,2011,14.2
PC,F,PL,2012,16.1
PC,F,PL,2013,14.4
PC,F,PL,2014,14.1
PC,F,PL,2015,13.6
PC,F,PL,2016,14.6
PC,F,PL,2017,14.8
PC,F,PL,2018,14.0
PC,F,PL,2019,14.4
PC,F,PL,2020,15.2
PC,F,PL,2021,15.6
PC,F,PL,2022,16.7
PC,F,PL,2023,19.1
PC,F,PL,2024,17.5
PC,F,PL,2025,16.6
THS_PER,M,CZ,2004,118.0
THS_PER,M,CZ,2005,127.6
THS_PER,M,CZ,2006,134.6
THS_PER,M,CZ,2007,150.6
THS_PER,M,CZ,2008,166.1
THS_PER,M,CZ,2009,173.9
THS_PER,M,CZ,2010,178.3
THS_PER,M,CZ,2011,152.4
THS_PER,M,CZ,2012,146.4
THS_PER,M,CZ,2013,163.1
THS_PER,M,CZ,2014,167.0
THS_PER,M,CZ,2015,160.1
THS_PER,M,CZ,2016,170.0
THS_PER,M,CZ,2017,170.0
THS_PER,M,CZ,2018,191.0
THS_PER,M,CZ,2019,192.1
THS_PER,M,CZ,2020,197.2
THS_PER,M,CZ,2021,216.5
THS_PER,M,CZ,2022,207.6
THS_PER,M,CZ,2023,190.8
THS_PER,M,CZ,2024,204.3
THS_PER,M,CZ,2025,216.5
THS_PER,F,CZ,2004,42.5
THS_PER,F,CZ,2005,50.5
THS_PER,F,CZ,2006,54.8
THS_PER,F,CZ,2007,60.5
THS_PER,F,CZ,2008,64.0
THS_PER,F,CZ,2009,53.4
THS_PER,F,CZ,2010,48.4
THS_PER,F,CZ,2011,18.2
THS_PER,F,CZ,2012,18.0
THS_PER,F,CZ,2013,19.3
THS_PER,F,CZ,2014,18.3
THS_PER,F,CZ,2015,17.4
THS_PER,F,CZ,2016,18.9
THS_PER,F,CZ,2017,19.2
THS_PER,F,CZ,2018,20.6
THS_PER,F,CZ,2019,21.9
THS_PER,F,CZ,2020,22.6
THS_PER,F,CZ,2021,24.2
THS_PER,F,CZ,2022,25.3
THS_PER,F,CZ,2023,27.0
THS_PER,F,CZ,2024,30.6
THS_PER,F,CZ,2025,32.0
PC,M,CZ,2004,73.5
PC,M,CZ,2005,71.7
PC,M,CZ,2006,71.1
PC,M,CZ,2007,71.4
PC,M,CZ,2008,72.2
PC,M,CZ,2009,76.5
PC,M,CZ,2010,78.7
PC,M,CZ,2011,89.3
PC,M,CZ,2012,89.0
PC,M,CZ,2013,89.4
PC,M,CZ,2014,90.1
PC,M,CZ,2015,90.2
PC,M,CZ,2016,90.0
PC,M,CZ,2017,89.9
PC,M,CZ,2018,90.3
PC,M,CZ,2019,89.8
PC,M,CZ,2020,89.7
PC,M,CZ,2021,90.0
PC,M,CZ,2022,89.1
PC,M,CZ,2023,87.6
PC,M,CZ,2024,87.0
PC,M,CZ,2025,87.1
PC,F,CZ,2004,26.5
PC,F,CZ,2005,28.3
PC,F,CZ,2006,28.9
PC,F,CZ,2007,28.6
PC,F,CZ,2008,27.8
PC,F,CZ,2009,23.5
PC,F,CZ,2010,21.3
PC,F,CZ,2011,10.7
PC,F,CZ,2012,11.0
PC,F,CZ,2013,10.6
PC,F,CZ,2014,9.9
PC,F,CZ,2015,9.8
PC,F,CZ,2016,10.0
PC,F,CZ,2017,10.1
PC,F,CZ,2018,9.7
PC,F,CZ,2019,10.2
PC,F,CZ,2020,10.3
PC,F,CZ,2021,10.0
PC,F,CZ,2022,10.9
PC,F,CZ,2023,12.4
PC,F,CZ,2024,13.0
PC,F,CZ,2025,12.9
THS_PER,M,RO,2005,84.5
THS_PER,M,RO,2006,128.4
THS_PER,M,RO,2007,142.8
THS_PER,M,RO,2008,136.1
THS_PER,M,RO,2009,130.4
THS_PER,M,RO,2010,115.2
THS_PER,M,RO,2011,97.9
THS_PER,M,RO,2012,109.7
THS_PER,M,RO,2013,104.9
THS_PER,M,RO,2014,109.9
THS_PER,M,RO,2015,117.2
THS_PER,M,RO,2016,123.6
THS_PER,M,RO,2017,137.7
THS_PER,M,RO,2018,145.4
THS_PER,M,RO,2019,151.4
THS_PER,M,RO,2020,150.3
THS_PER,M,RO,2021,150.8
THS_PER,M,RO,2022,161.1
THS_PER,M,RO,2023,145.8
THS_PER,M,RO,2024,161.2
THS_PER,M,RO,2025,150.1
THS_PER,F,RO,2005,40.1
THS_PER,F,RO,2006,58.1
THS_PER,F,RO,2007,56.9
THS_PER,F,RO,2008,64.8
THS_PER,F,RO,2009,62.2
THS_PER,F,RO,2010,47.8
THS_PER,F,RO,2011,27.2
THS_PER,F,RO,2012,29.7
THS_PER,F,RO,2013,32.2
THS_PER,F,RO,2014,30.1
THS_PER,F,RO,2015,44.0
THS_PER,F,RO,2016,44.1
THS_PER,F,RO,2017,47.7
THS_PER,F,RO,2018,45.0
THS_PER,F,RO,2019,46.3
THS_PER,F,RO,2020,53.1
THS_PER,F,RO,2021,52.8
THS_PER,F,RO,2022,54.4
THS_PER,F,RO,2023,51.2
THS_PER,F,RO,2024,60.6
THS_PER,F,RO,2025,57.8
PC,M,RO,2005,67.8
PC,M,RO,2006,68.9
PC,M,RO,2007,71.5
PC,M,RO,2008,67.7
PC,M,RO,2009,67.7
PC,M,RO,2010,70.7
PC,M,RO,2011,78.3
PC,M,RO,2012,78.7
PC,M,RO,2013,76.5
PC,M,RO,2014,78.5
PC,M,RO,2015,72.7
PC,M,RO,2016,73.7
PC,M,RO,2017,74.3
PC,M,RO,2018,76.4
PC,M,RO,2019,76.6
PC,M,RO,2020,73.9
PC,M,RO,2021,74.1
PC,M,RO,2022,74.8
PC,M,RO,2023,74.0
PC,M,RO,2024,72.7
PC,M,RO,2025,72.2
PC,F,RO,2005,32.2
PC,F,RO,2006,31.1
PC,F,RO,2007,28.5
PC,F,RO,2008,32.3
PC,F,RO,2009,32.3
PC,F,RO,2010,29.3
PC,F,RO,2011,21.7
PC,F,RO,2012,21.3
PC,F,RO,2013,23.5
PC,F,RO,2014,21.5
PC,F,RO,2015,27.3
PC,F,RO,2016,26.3
PC,F,RO,2017,25.7
PC,F,RO,2018,23.6
PC,F,RO,2019,23.4
PC,F,RO,2020,26.1
PC,F,RO,2021,25.9
PC,F,RO,2022,25.2
PC,F,RO,2023,26.0
PC,F,RO,2024,27.3
PC,F,RO,2025,27.8
THS_PER,M,DE,2004,947.4
THS_PER,M,DE,2005,1047.3
THS_PER,M,DE,2006,1061.7
THS_PER,M,DE,2007,1076.8
THS_PER,M,DE,2008,1121.1
THS_PER,M,DE,2009,1143.0
THS_PER,M,DE,2010,1189.4
THS_PER,M,DE,2011,1014.9
THS_PER,M,DE,2012,1148.0
THS_PER,M,DE,2013,1178.8
THS_PER,M,DE,2014,1183.4
THS_PER,M,DE,2015,1226.9
THS_PER,M,DE,2016,1285.6
THS_PER,M,DE,2017,1298.3
THS_PER,M,DE,2018,1349.9
THS_PER,M,DE,2019,1403.7
THS_PER,M,DE,2020,1594.3
THS_PER,M,DE,2021,1599.0
THS_PER,M,DE,2022,1676.8
THS_PER,M,DE,2023,1663.0
THS_PER,M,DE,2024,1767.7
THS_PER,M,DE,2025,1855.3
THS_PER,F,DE,2004,259.9
THS_PER,F,DE,2005,285.4
THS_PER,F,DE,2006,288.1
THS_PER,F,DE,2007,299.4
THS_PER,F,DE,2008,302.6
THS_PER,F,DE,2009,287.9
THS_PER,F,DE,2010,287.9
THS_PER,F,DE,2011,200.4
THS_PER,F,DE,2012,205.5
THS_PER,F,DE,2013,218.4
THS_PER,F,DE,2014,234.5
THS_PER,F,DE,2015,238.8
THS_PER,F,DE,2016,255.5
THS_PER,F,DE,2017,257.6
THS_PER,F,DE,2018,272.7
THS_PER,F,DE,2019,283.2
THS_PER,F,DE,2020,339.6
THS_PER,F,DE,2021,385.0
THS_PER,F,DE,2022,395.4
THS_PER,F,DE,2023,391.7
THS_PER,F,DE,2024,416.8
THS_PER,F,DE,2025,463.8
PC,M,DE,2004,78.5
PC,M,DE,2005,78.6
PC,M,DE,2006,78.7
PC,M,DE,2007,78.2
PC,M,DE,2008,78.7
PC,M,DE,2009,79.9
PC,M,DE,2010,80.5
PC,M,DE,2011,83.5
PC,M,DE,2012,84.8
PC,M,DE,2013,84.4
PC,M,DE,2014,83.5
PC,M,DE,2015,83.7
PC,M,DE,2016,83.4
PC,M,DE,2017,83.4
PC,M,DE,2018,83.2
PC,M,DE,2019,83.2
PC,M,DE,2020,82.4
PC,M,DE,2021,80.6
PC,M,DE,2022,80.9
PC,M,DE,2023,80.9
PC,M,DE,2024,80.9
PC,M,DE,2025,80.0
PC,F,DE,2004,21.5
PC,F,DE,2005,21.4
PC,F,DE,2006,21.3
PC,F,DE,2007,21.8
PC,F,DE,2008,21.3
PC,F,DE,2009,20.1
PC,F,DE,2010,19.5
PC,F,DE,2011,16.5
PC,F,DE,2012,15.2
PC,F,DE,2013,15.6
PC,F,DE,2014,16.5
PC,F,DE,2015,16.3
PC,F,DE,2016,16.6
PC,F,DE,2017,16.6
PC,F,DE,2018,16.8
PC,F,DE,2019,16.8
PC,F,DE,2020,17.6
PC,F,DE,2021,19.4
PC,F,DE,2022,19.1
PC,F,DE,2023,19.1
PC,F,DE,2024,19.1
PC,F,DE,2025,20.0
THS_PER,M,FR,2004,745.4
THS_PER,M,FR,2005,800.4
THS_PER,M,FR,2006,821.3
THS_PER,M,FR,2007,798.4
THS_PER,M,FR,2008,804.9
THS_PER,M,FR,2009,809.6
THS_PER,M,FR,2010,814.9
THS_PER,M,FR,2011,562.0
THS_PER,M,FR,2012,549.2
THS_PER,M,FR,2013,618.8
THS_PER,M,FR,2014,709.5
THS_PER,M,FR,2015,763.0
THS_PER,M,FR,2016,798.1
THS_PER,M,FR,2017,830.0
THS_PER,M,FR,2018,857.0
THS_PER,M,FR,2019,908.7
THS_PER,M,FR,2020,974.3
THS_PER,M,FR,2021,980.0
THS_PER,M,FR,2022,986.5
THS_PER,M,FR,2023,1077.5
THS_PER,M,FR,2024,1125.1
THS_PER,M,FR,2025,1148.1
THS_PER,F,FR,2004,230.1
THS_PER,F,FR,2005,211.7
THS_PER,F,FR,2006,231.1
THS_PER,F,FR,2007,211.8
THS_PER,F,FR,2008,216.6
THS_PER,F,FR,2009,232.4
THS_PER,F,FR,2010,232.6
THS_PER,F,FR,2011,135.8
THS_PER,F,FR,2012,136.9
THS_PER,F,FR,2013,149.7
THS_PER,F,FR,2014,143.9
THS_PER,F,FR,2015,143.7
THS_PER,F,FR,2016,170.6
THS_PER,F,FR,2017,187.9
THS_PER,F,FR,2018,204.2
THS_PER,F,FR,2019,222.9
THS_PER,F,FR,2020,244.5
THS_PER,F,FR,2021,258.8
THS_PER,F,FR,2022,231.0
THS_PER,F,FR,2023,271.5
THS_PER,F,FR,2024,269.9
THS_PER,F,FR,2025,279.7
PC,M,FR,2004,76.4
PC,M,FR,2005,79.1
PC,M,FR,2006,78.0
PC,M,FR,2007,79.0
PC,M,FR,2008,78.8
PC,M,FR,2009,77.7
PC,M,FR,2010,77.8
PC,M,FR,2011,80.5
PC,M,FR,2012,80.1
PC,M,FR,2013,80.5
PC,M,FR,2014,83.1
PC,M,FR,2015,84.2
PC,M,FR,2016,82.4
PC,M,FR,2017,81.5
PC,M,FR,2018,80.8
PC,M,FR,2019,80.3
PC,M,FR,2020,79.9
PC,M,FR,2021,79.1
PC,M,FR,2022,81.0
PC,M,FR,2023,79.9
PC,M,FR,2024,80.7
PC,M,FR,2025,80.4
PC,F,FR,2004,23.6
PC,F,FR,2005,20.9
PC,F,FR,2006,22.0
PC,F,FR,2007,21.0
PC,F,FR,2008,21.2
PC,F,FR,2009,22.3
PC,F,FR,2010,22.2
PC,F,FR,2011,19.5
PC,F,FR,2012,19.9
PC,F,FR,2013,19.5
PC,F,FR,2014,16.9
PC,F,FR,2015,15.8
PC,F,FR,2016,17.6
PC,F,FR,2017,18.5
PC,F,FR,2018,19.2
PC,F,FR,2019,19.7
PC,F,FR,2020,20.1
PC,F,FR,2021,20.9
PC,F,FR,2022,19.0
PC,F,FR,2023,20.1
PC,F,FR,2024,19.3
PC,F,FR,2025,19.6
THS_PER,M,NO,2011,92.0
THS_PER,M,NO,2012,95.4
THS_PER,M,NO,2013,99.1
THS_PER,M,NO,2014,99.3
THS_PER,M,NO,2015,95.9
THS_PER,M,NO,2016,92.7
THS_PER,M,NO,2017,99.3
THS_PER,M,NO,2018,95.4
THS_PER,M,NO,2019,100.2
THS_PER,M,NO,2020,109.9
THS_PER,M,NO,2021,120.9
THS_PER,M,NO,2022,117.9
THS_PER,M,NO,2023,120.7
THS_PER,M,NO,2024,125.7
THS_PER,M,NO,2025,132.2
THS_PER,F,NO,2011,18.4
THS_PER,F,NO,2012,18.3
THS_PER,F,NO,2013,18.9
THS_PER,F,NO,2014,19.7
THS_PER,F,NO,2015,22.2
THS_PER,F,NO,2016,19.3
THS_PER,F,NO,2017,22.8
THS_PER,F,NO,2018,27.0
THS_PER,F,NO,2019,26.0
THS_PER,F,NO,2020,26.4
THS_PER,F,NO,2021,28.6
THS_PER,F,NO,2022,29.2
THS_PER,F,NO,2023,33.4
THS_PER,F,NO,2024,34.0
THS_PER,F,NO,2025,39.2
PC,M,NO,2011,83.4
PC,M,NO,2012,83.9
PC,M,NO,2013,84.0
PC,M,NO,2014,83.4
PC,M,NO,2015,81.2
PC,M,NO,2016,82.7
PC,M,NO,2017,81.4
PC,M,NO,2018,78.0
PC,M,NO,2019,79.4
PC,M,NO,2020,80.6
PC,M,NO,2021,80.9
PC,M,NO,2022,80.2
PC,M,NO,2023,78.3
PC,M,NO,2024,78.7
PC,M,NO,2025,77.1
PC,F,NO,2011,16.6
PC,F,NO,2012,16.1
PC,F,NO,2013,16.0
PC,F,NO,2014,16.6
PC,F,NO,2015,18.8
PC,F,NO,2016,17.3
PC,F,NO,2017,18.6
PC,F,NO,2018,22.0
PC,F,NO,2019,20.6
PC,F,NO,2020,19.4
PC,F,NO,2021,19.1
PC,F,NO,2022,19.8
PC,F,NO,2023,21.7
PC,F,NO,2024,21.3
PC,F,NO,2025,22.9
THS_PER,M,CH,2011,160.5
THS_PER,M,CH,2012,176.8
THS_PER,M,CH,2013,178.1
THS_PER,M,CH,2014,184.3
THS_PER,M,CH,2015,184.7
THS_PER,M,CH,2016,192.8
THS_PER,M,CH,2017,189.1
THS_PER,M,CH,2018,199.7
THS_PER,M,CH,2019,214.1
THS_PER,M,CH,2020,212.9
THS_PER,M,CH,2021,214.5
THS_PER,M,CH,2022,226.2
THS_PER,M,CH,2023,227.3
THS_PER,M,CH,2024,225.9
THS_PER,M,CH,2025,234.6
THS_PER,F,CH,2011,23.1
THS_PER,F,CH,2012,27.2
THS_PER,F,CH,2013,29.5
THS_PER,F,CH,2014,29.6
THS_PER,F,CH,2015,30.5
THS_PER,F,CH,2016,34.1
THS_PER,F,CH,2017,33.9
THS_PER,F,CH,2018,33.9
THS_PER,F,CH,2019,42.5
THS_PER,F,CH,2020,41.6
THS_PER,F,CH,2021,42.0
THS_PER,F,CH,2022,42.9
THS_PER,F,CH,2023,45.2
THS_PER,F,CH,2024,49.4
THS_PER,F,CH,2025,49.6
PC,M,CH,2011,87.4
PC,M,CH,2012,86.7
PC,M,CH,2013,85.8
PC,M,CH,2014,86.2
PC,M,CH,2015,85.8
PC,M,CH,2016,85.0
PC,M,CH,2017,84.8
PC,M,CH,2018,85.5
PC,M,CH,2019,83.4
PC,M,CH,2020,83.7
PC,M,CH,2021,83.6
PC,M,CH,2022,84.0
PC,M,CH,2023,83.4
PC,M,CH,2024,82.1
PC,M,CH,2025,82.6
PC,F,CH,2011,12.6
PC,F,CH,2012,13.3
PC,F,CH,2013,14.2
PC,F,CH,2014,13.8
PC,F,CH,2015,14.2
PC,F,CH,2016,15.0
PC,F,CH,2017,15.2
PC,F,CH,2018,14.5
PC,F,CH,2019,16.6
PC,F,CH,2020,16.3
PC,F,CH,2021,16.4
PC,F,CH,2022,16.0
PC,F,CH,2023,16.6
PC,F,CH,2024,17.9
PC,F,CH,2025,17.4
